tick,plants,herbivores,carnivores,total
234,2500,0,0,2500
235,2500,0,0,2500
236,2500,0,0,2500
237,2500,0,0,2500
238,2500,0,0,2500
239,2500,0,0,2500
240,2500,0,0,2500
241,2500,0,0,2500
242,2500,0,0,2500
243,2500,0,0,2500
244,2500,0,0,2500
245,2500,0,0,2500
246,2500,0,0,2500
247,2500,0,0,2500
248,2500,0,0,2500
249,2500,0,0,2500
250,2500,0,0,2500
251,2500,0,0,2500
252,2500,0,0,2500
253,2500,0,0,2500
254,2500,0,0,2500
255,2500,0,0,2500
256,2500,0,0,2500
257,2500,0,0,2500
258,2500,0,0,2500
259,2500,0,0,2500
260,2500,0,0,2500
261,2500,0,0,2500
262,2500,0,0,2500
263,2500,0,0,2500
264,2500,0,0,2500
265,2500,0,0,2500
266,2500,0,0,2500
267,2500,0,0,2500
268,2500,0,0,2500
269,2500,0,0,2500
270,2500,0,0,2500
271,2500,0,0,2500
272,2500,0,0,2500
273,2500,0,0,2500
274,2500,0,0,2500
275,2500,0,0,2500
276,2500,0,0,2500
277,2500,0,0,2500
278,2500,0,0,2500
279,2500,0,0,2500
280,2500,0,0,2500
281,2500,0,0,2500
282,2500,0,0,2500
283,2500,0,0,2500
284,2500,0,0,2500
285,2500,0,0,2500
286,2500,0,0,2500
287,2500,0,0,2500
288,2500,0,0,2500
289,2500,0,0,2500
290,2500,0,0,2500
291,2500,0,0,2500
292,2500,0,0,2500
293,2500,0,0,2500
294,2500,0,0,2500
295,2500,0,0,2500
296,2500,0,0,2500
297,2500,0,0,2500
298,2500,0,0,2500
299,2500,0,0,2500
300,2500,0,0,2500
301,2500,0,0,2500
302,2500,0,0,2500
303,2500,0,0,2500
304,2500,0,0,2500
305,2500,0,0,2500
306,2500,0,0,2500
307,2500,0,0,2500
308,2500,0,0,2500
309,2500,0,0,2500
310,2500,0,0,2500
311,2500,0,0,2500
312,2500,0,0,2500
313,2500,0,0,2500
314,2500,0,0,2500
315,2500,0,0,2500
316,2500,0,0,2500
317,2500,0,0,2500
318,2500,0,0,2500
319,2500,0,0,2500
320,2500,0,0,2500
321,2500,0,0,2500
322,2500,0,0,2500
323,2500,0,0,2500
324,2500,0,0,2500
325,2500,0,0,2500
326,2500,0,0,2500
327,2500,0,0,2500
328,2500,0,0,2500
329,2500,0,0,2500
330,2500,0,0,2500
331,2500,0,0,2500
332,2500,0,0,2500
333,2500,0,0,2500
334,2500,0,0,2500
335,2500,0,0,2500
336,2500,0,0,2500
337,2500,0,0,2500
338,2500,0,0,2500
339,2500,0,0,2500
340,2500,0,0,2500
341,2500,0,0,2500
342,2500,0,0,2500
343,2500,0,0,2500
344,2500,0,0,2500
345,2500,0,0,2500
346,2500,0,0,2500
347,2500,0,0,2500
348,2500,0,0,2500
349,2500,0,0,2500
350,2500,0,0,2500
351,2500,0,0,2500
352,2500,0,0,2500
353,2500,0,0,2500
354,2500,0,0,2500
355,2500,0,0,2500
356,2500,0,0,2500
357,2500,0,0,2500
358,2500,0,0,2500
359,2500,0,0,2500
360,2500,0,0,2500
361,2500,0,0,2500
362,2500,0,0,2500
363,2500,0,0,2500
364,2500,0,0,2500
365,2500,0,0,2500
366,2500,0,0,2500
367,2500,0,0,2500
368,2500,0,0,2500
369,2500,0,0,2500
370,2500,0,0,2500
371,2500,0,0,2500
372,2500,0,0,2500
373,2500,0,0,2500
374,2500,0,0,2500
375,2500,0,0,2500
376,2500,0,0,2500
377,2500,0,0,2500
378,2500,0,0,2500
379,2500,0,0,2500
380,2500,0,0,2500
381,2500,0,0,2500
382,2500,0,0,2500
383,2500,0,0,2500
384,2500,0,0,2500
385,2500,0,0,2500
386,2500,0,0,2500
387,2500,0,0,2500
388,2500,0,0,2500
389,2500,0,0,2500
390,2500,0,0,2500
391,2500,0,0,2500
392,2500,0,0,2500
393,2500,0,0,2500
394,2500,0,0,2500
395,2500,0,0,2500
396,2500,0,0,2500
397,2500,0,0,2500
398,2500,0,0,2500
399,2500,0,0,2500
400,2500,0,0,2500
401,2500,0,0,2500
402,2500,0,0,2500
403,2500,0,0,2500
404,2500,0,0,2500
